lesson,name,page_name,video,slides
1,Intro / Session overview,01-intro.md,https://www.youtube.com/watch?v=agIFak9A3m8,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-5-model-deployment
2,Saving and loading the model,02-pickle.md,https://www.youtube.com/watch?v=EJpqZ7OlwFU,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-5-model-deployment
3,Web services: introduction to Flask,03-flask-intro.md,https://www.youtube.com/watch?v=W7ubna1Rfv8,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-5-model-deployment
4,Serving the churn model with Flask,04-flask-deployment.md,https://www.youtube.com/watch?v=Q7ZWPgPnRz8,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-5-model-deployment
5,Python virtual environment: Pipenv,05-pipenv.md,https://www.youtube.com/watch?v=BMXh8JGROHM,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-5-model-deployment
6,Environment management: Docker,06-docker.md,https://www.youtube.com/watch?v=wAtyYZ6zvAs,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-5-model-deployment
7,Deployment to the cloud: AWS Elastic Beanstalk (optional),07-aws-eb.md,https://www.youtube.com/watch?v=HGPJ4ekhcLg,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-5-model-deployment
8,Summary,08-summary.md,https://www.youtube.com/watch?v=sSAqYSk7Br4,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-5-model-deployment
9,Explore more,09-explore-more.md,,
10,Homework,homework.md,,